"","d","control","r1","r2","r3","weight","perc_treated","precinct","municipality","t2009","inc_vs2009","challengers_vs2009","state","anal05","spri05","sdye05","see05","sagua05","srefri05","pisotie05","i_spoverty","corr33","corr66","corr100","t3_info","t2006","inc_vs2006","challengers_vs2006"
"478",0,1,0,0,0,1.27631581049423,NA,529,"COMALCALCO",69.4603881835938,31.802526473999,37.6578636169434,"27",0.0280289333313704,0.203435808420181,0.0262996926903725,0.0201834868639708,0.0587155967950821,0.100305818021297,0.0122324153780937,-0.60691237449646,1,0,0,0.00999999977648258,65.6108627319336,32.6923065185547,32.9185523986816
"479",0,1,0,0,0,1.27631581049423,NA,561,"COMALCALCO",65.23681640625,37.1760482788086,28.0607681274414,"27",0.0655021816492081,0.249726176261902,0.061643835157156,0.0239726025611162,0.226804122328758,0.267123281955719,0.0993150696158409,0.367773234844208,1,0,0,0.00999999977648258,65.8340759277344,33.8983039855957,31.9357719421387
"480",0,1,0,0,0,1.27631581049423,NA,527,"COMALCALCO",68.149040222168,29.927885055542,38.2211532592773,"27",0.0245366748422384,0.198816657066345,0.0252156592905521,0.0175846051424742,0.0779694765806198,0.102189779281616,0.00895819440484047,-0.632894575595856,1,0,0,0.00999999977648258,65.9090881347656,31.3397121429443,34.5693778991699
"481",1,0,0,0,1,13.8571434618563,1,559,"COMALCALCO",73.4513244628906,41.0766944885254,32.3746299743652,"27",0.0767310112714767,0.256577461957932,0.0372684001922607,0.0413640365004539,0.210016116499901,0.300798535346985,0.131068244576454,0.494858920574188,1,0,0,0.00999999977648258,62.1279754638672,34.226188659668,27.9017848968506
"482",0,1,0,0,0,1.27631581049423,NA,607,"COMALCALCO",78.7138290405273,35.2411575317383,43.4726676940918,"27",0.134537220001221,0.404297679662704,0.16046430170536,0.0172404069453478,0.817593514919281,0.480544537305832,0.24001170694828,2.46087336540222,1,0,0,0.00999999977648258,64.8717956542969,35.4487190246582,29.4230766296387
"483",0,1,0,0,0,1.27631581049423,NA,534,"COMALCALCO",62.2469635009766,29.251012802124,32.9959526062012,"27",0.0302622728049755,0.212508410215378,0.02618657797575,0.0229132585227489,0.0649208948016167,0.115657396614552,0.0136388428509235,-0.540417671203613,1,0,0,0.00999999977648258,61.5612640380859,31.5217399597168,30.0395259857178
"484",0,1,0,0,0,1.27631581049423,NA,585,"COMALCALCO",74.3690872192383,32.6498413085938,41.7192420959473,"27",0.117813929915428,0.331482768058777,0.0174439903348684,0.00466893054544926,0.126984924077988,0.301258355379105,0.133776098489761,0.563161492347717,1,0,0,0.00999999977648258,62.8458480834961,33.6758880615234,29.1699600219727
"485",0,1,0,0,0,1.27631581049423,NA,516,"COMALCALCO",65.979377746582,29.1038856506348,36.8754959106445,"27",0.0188563223928213,0.170219302177429,0.0469902902841568,0.0466019436717033,0.0667961165308952,0.105631068348885,0.0143689326941967,-0.52839332818985,1,0,0,0.00999999977648258,63.0830039978027,28.5375499725342,34.5454559326172
"486",0,1,0,0,0,1.27631581049423,NA,552,"COMALCALCO",73.7588653564453,40.0709228515625,33.6879425048828,"27",0.0571633614599705,0.252344518899918,0.0181794986128807,0.0243144202977419,0.0701763182878494,0.237617537379265,0.0771169885993004,-0.0539315156638622,1,0,0,0.00999999977648258,65.5049819946289,35.6330032348633,29.871976852417
"487",0,1,0,0,0,1.27631581049423,NA,526,"COMALCALCO",70.336784362793,32.5129547119141,37.8238334655762,"27",0.0226356573402882,0.188113689422607,0.0281350500881672,0.0217041801661253,0.109324760735035,0.101688101887703,0.00964630208909512,-0.611444652080536,1,0,0,0.00999999977648258,65.3113098144531,30.2414226531982,35.0698852539062
